id;title;iconCategoryId;isActive;
1;fa-solid fa-house;1;1;
2;fa-solid fa-warehouse;1;1;
3;fa-solid fa-hospital;1;1;
4;fa-solid fa-shop;1;1;
5;fa-solid fa-landmark;1;1;
6;fa-solid fa-school;1;1;
7;fa-solid fa-mountain-city;1;1;
8;fa-solid fa-building-shield;1;1;
9;fa-solid fa-tree-city;1;1;
10;fa-solid fa-school-flag;1;1;
11;fa-solid fa-landmark-flag;1;1;
12;fa-solid fa-igloo;1;1;
13;fa-solid fa-oil-well;1;1;
14;fa-solid fa-dungeon;1;1;
15;fa-solid fa-dumpster;1;1;
16;fa-solid fa-baby;2;1;
17;fa-solid fa-user-secret;2;1;
18;fa-solid fa-user-tie;2;1;
19;fa-solid fa-user-shield;2;1;
20;fa-solid fa-user-ninja;2;1;
21;fa-solid fa-user-injured;2;1;
22;fa-solid fa-user-graduate;2;1;
23;fa-solid fa-user-doctor;2;1;
24;fa-solid fa-user-astronaut;2;1;
25;fa-solid fa-person-walking-with-cane;2;1;
26;fa-solid fa-person-walking-luggage;2;1;
27;fa-solid fa-person-walking;2;1;
28;fa-solid fa-person-swimming;2;1;
29;fa-solid fa-person-snowboarding;2;1;
30;fa-solid fa-person-skiing-nordic;2;1;
31;fa-solid fa-person-skiing;2;1;
32;fa-solid fa-person-skating;2;1;
33;fa-solid fa-person-shelter;2;1;
34;fa-solid fa-person-rifle;2;1;
35;fa-solid fa-person-pregnant;2;1;
36;fa-solid fa-person-military-to-person;2;1;
37;fa-solid fa-person-military-rifle;2;1;
38;fa-solid fa-person-military-pointing;2;1;
39;fa-solid fa-person-hiking;2;1;
40;fa-solid fa-person-half-dress;2;1;
41;fa-solid fa-person-drowning;2;1;
42;fa-solid fa-person-breastfeeding;2;1;
43;fa-solid fa-person-biking;2;1;
44;fa-solid fa-people-roof;2;1;
45;fa-solid fa-people-carry-box;2;1;
46;fa-solid fa-children;2;1;
47;fa-solid fa-chalkboard-user;2;1;
48;fa-solid fa-users-viewfinder;2;1;
49;fa-solid fa-hands-holding-child;2;1;
50;fa-solid fa-clipboard-user;2;1;
51;fa-solid fa-baby-carriage;2;1;
52;fa-solid fa-handshake;2;1;
53;fa-solid fa-hand-holding-heart;2;1;
54;fa-solid fa-car;3;1;
55;fa-solid fa-truck;3;1;
56;fa-solid fa-train;3;1;
57;fa-solid fa-ship;3;1;
58;fa-solid fa-motorcycle;3;1;
59;fa-solid fa-truck-monster;3;1;
60;fa-solid fa-plane;3;1;
61;fa-solid fa-bicycle;3;1;
62;fa-solid fa-van-shuttle;3;1;
63;fa-solid fa-truck-pickup;3;1;
64;fa-solid fa-truck-moving;3;1;
65;fa-solid fa-truck-medical;3;1;
66;fa-solid fa-truck-field;3;1;
67;fa-solid fa-train-tram;3;1;
68;fa-solid fa-train-subway;3;1;
69;fa-solid fa-trailer;3;1;
70;fa-solid fa-tractor;3;1;
71;fa-solid fa-taxi;3;1;
72;fa-solid fa-sailboat;3;1;
73;fa-solid fa-jet-fighter-up;3;1;
74;fa-solid fa-ferry;3;1;
75;fa-solid fa-caravan;3;1;
76;fa-solid fa-car-rear;3;1;
77;fa-solid fa-car-burst;3;1;
78;fa-solid fa-bus-simple;3;1;
79;fa-solid fa-bus-simple;3;1;
80;fa-solid fa-bus;3;1;
81;fa-solid fa-snowplow;3;1;
82;fa-solid fa-gas-pump;3;1;
83;fa-solid fa-charging-station;3;1;
84;fa-solid fa-oil-can;3;1;
85;fa-solid fa-car-battery;3;1;
86;fa-solid fa-dolly;3;1;
87;fa-solid fa-paw;4;1;
88;fa-solid fa-hippo;4;1;
89;fa-solid fa-shield-dog;4;1;
90;fa-solid fa-shield-cat;4;1;
91;fa-solid fa-shrimp;4;1;
92;fa-solid fa-horse;4;1;
93;fa-solid fa-dove;4;1;
94;fa-solid fa-dog;4;1;
95;fa-solid fa-cat;4;1;
96;fa-solid fa-cow;4;1;
97;fa-solid fa-bone;4;1;
98;fa-solid fa-bomb;5;1;
99;fa-solid fa-mug-hot;5;1;
100;fa-solid fa-gift;5;1;
101;fa-solid fa-joint;5;1;
102;fa-solid fa-wine-bottle;5;1;
103;fa-solid fa-dice;5;1;
104;fa-solid fa-wine-glass;5;1;
105;fa-solid fa-umbrella-beach;5;1;
106;fa-solid fa-dumbbell;5;1;
107;fa-solid fa-water-ladder;5;1;
108;fa-solid fa-volleyball;5;1;
109;fa-solid fa-utensils;5;1;
110;fa-regular fa-futbol;5;1;
111;fa-solid fa-champagne-glasses;5;1;
112;fa-solid fa-cake-candles;5;1;
113;fa-solid fa-candy-cane;5;1;
114;fa-solid fa-cake-candles;5;1;
115;fa-solid fa-burger;5;1;
116;fa-solid fa-baseball-bat-ball;5;1;
117;fa-solid fa-baseball;5;1;
118;fa-solid fa-guitar;5;1;
119;fa-solid fa-masks-theater;5;1;
120;fa-solid fa-gifts;5;1;
121;fa-solid fa-table-tennis-paddle-ball;5;1;
122;fa-solid fa-martini-glass-citrus;5;1;
123;fa-solid fa-football;5;1;
124;fa-solid fa-glass-water;5;1;
125;fa-solid fa-basketball;5;1;
126;fa-solid fa-pizza-slice;5;1;
127;fa-solid fa-ticket;5;1;
128;fa-solid fa-image;5;1;
129;fa-solid fa-cart-shopping;5;1;
130;fa-solid fa-basket-shopping;5;1;
131;fa-solid fa-bag-shopping;5;1;
132;fa-solid fa-shirt;5;1;
133;fa-solid fa-film;5;1;
134;fa-solid fa-snowman;5;1;
135;fa-solid fa-microchip;6;1;
136;fa-solid fa-robot;6;1;
137;fa-solid fa-fingerprint;6;1;
138;fa-solid fa-phone;6;1;
139;fa-solid fa-music;6;1;
140;fa-solid fa-camera-retro;6;1;
141;fa-solid fa-wifi;6;1;
142;fa-solid fa-gamepad;6;1;
143;fa-solid fa-phone-volume;6;1;
144;fa-solid fa-database;6;1;
145;fa-solid fa-mobile;6;1;
146;fa-solid fa-laptop;6;1;
147;fa-solid fa-desktop;6;1;
148;fa-solid fa-radio;6;1;
149;fa-solid fa-pager;6;1;
150;fa-solid fa-mobile-retro;6;1;
151;fa-solid fa-ethernet;6;1;
152;fa-solid fa-display;6;1;
153;fa-solid fa-coins;6;1;
154;fa-solid fa-microphone-lines;6;1;
155;fa-solid fa-sim-card;6;1;
156;fa-solid fa-satellite-dish;6;1;
157;fa-solid fa-podcast;6;1;
158;fa-solid fa-floppy-disk;6;1;
159;fa-solid fa-blender;6;1;
160;fa-solid fa-rectangle-ad;6;1;
161;fa-solid fa-shield-halved;7;1;
162;fa-solid fa-stethoscope;7;1;
163;fa-solid fa-soap;7;1;
164;fa-solid fa-glasses;7;1;
165;fa-solid fa-tooth;7;1;
166;fa-solid fa-teeth-open;7;1;
167;fa-solid fa-syringe;7;1;
168;fa-solid fa-suitcase-medical;7;1;
169;fa-solid fa-staff-snake;7;1;
170;fa-solid fa-spray-can-sparkles;7;1;
171;fa-solid fa-smoking;7;1;
172;fa-solid fa-skull;7;1;
173;fa-solid fa-pump-soap;7;1;
174;fa-solid fa-pills;7;1;
175;fa-solid fa-mortar-pestle;7;1;
176;fa-solid fa-microscope;7;1;
177;fa-solid fa-dna;7;1;
178;fa-solid fa-bandage;7;1;
179;fa-solid fa-capsules;7;1;
180;fa-solid fa-lungs;7;1;
181;fa-solid fa-hospital-user;7;1;
182;fa-solid fa-heart-pulse;7;1;
183;fa-solid fa-head-side-mask;7;1;
184;fa-solid fa-mask-face;7;1;
185;fa-solid fa-cannabis;7;1;
186;fa-solid fa-bong;7;1;
187;fa-solid fa-ban-smoking;7;1;
188;fa-solid fa-bacterium;7;1;
189;fa-solid fa-bread-slice;7;1;
190;fa-solid fa-hand-holding-medical;7;1;
191;fa-solid fa-hand-holding-droplet;7;1;
192;fa-solid fa-bed-pulse;7;1;
193;fa-solid fa-clover;8;1;
194;fa-solid fa-wallet;8;1;
195;fa-solid fa-piggy-bank;8;1;
196;fa-solid fa-money-bill;8;1;
197;fa-solid fa-credit-card;8;1;
198;fa-regular fa-credit-card;8;1;
199;fa-solid fa-cash-register;8;1;
200;fa-solid fa-vault;8;1;
201;fa-solid fa-money-check-dollar;8;1;
202;fa-solid fa-money-check;8;1;
203;fa-solid fa-money-bills;8;1;
204;fa-solid fa-money-bill-trend-up;8;1;
205;fa-solid fa-money-bill-transfer;8;1;
206;fa-solid fa-money-bill-1;8;1;
207;fa-solid fa-circle-dollar-to-slot;8;1;
208;fa-solid fa-comments-dollar;8;1;
209;fa-solid fa-hand-holding-dollar;8;1;
210;fa-solid fa-bitcoin-sign;8;1;
211;fa-solid fa-gem;8;1;
212;fa-solid fa-chart-pie;8;1;
213;fa-solid fa-receipt;8;1;
214;fa-solid fa-language;9;1;
215;fa-solid fa-cart-flatbed-suitcase;9;1;
216;fa-solid fa-campground;9;1;
217;fa-solid fa-map-location-dot;9;1;
218;fa-solid fa-monument;9;1;
219;fa-solid fa-mountain;9;1;
220;fa-solid fa-panorama;9;1;
221;fa-solid fa-signs-post;9;1;
222;fa-solid fa-torii-gate;9;1;
223;fa-solid fa-road;9;1;
224;fa-solid fa-route;9;1;
225;fa-solid fa-volcano;9;1;
226;fa-solid fa-tent;9;1;
227;fa-solid fa-passport;9;1;
228;fa-solid fa-suitcase-rolling;9;1;
229;fa-solid fa-globe;9;1;
230;fa-solid fa-mountain-sun;9;1;
231;fa-solid fa-bell-concierge;9;1;
232;fa-solid fa-bed;9;1;
233;fa-solid fa-book-atlas;9;1;
234;fa-solid fa-compass;9;1;
235;fa-solid fa-droplet;10;1;
236;fa-solid fa-fire;10;1;
237;fa-solid fa-paint-roller;10;1;
238;fa-solid fa-brush;10;1;
239;fa-solid fa-flask;10;1;
240;fa-solid fa-briefcase;10;1;
241;fa-solid fa-ruler;10;1;
242;fa-solid fa-lightbulb;10;1;
243;fa-solid fa-trowel-bricks;10;1;
244;fa-solid fa-trowel;10;1;
245;fa-solid fa-toolbox;10;1;
246;fa-solid fa-screwdriver-wrench;10;1;
247;fa-solid fa-screwdriver;10;1;
248;fa-solid fa-pen-ruler;10;1;
249;fa-solid fa-gear;10;1;
250;fa-solid fa-plug;10;1;
251;fa-solid fa-fire-flame-curved;10;1;
252;fa-solid fa-faucet-drip;10;1;
253;fa-solid fa-fire-burner;10;1;
254;fa-solid fa-crown;11;1;
255;fa-solid fa-envelope;11;1;
256;fa-solid fa-star;11;1;
257;fa-solid fa-location-dot;11;1;
258;fa-solid fa-poo;11;1;
259;fa-solid fa-bolt;11;1;
260;fa-solid fa-ghost;11;1;
261;fa-solid fa-umbrella;11;1;
262;fa-solid fa-book;11;1;
263;fa-solid fa-print;11;1;
264;fa-solid fa-eye;11;1;
265;fa-solid fa-tree;11;1;
266;fa-solid fa-bath;11;1;
267;fa-solid fa-fish;11;1;
268;fa-solid fa-rocket;11;1;
269;fa-solid fa-icons;11;1;
270;fa-solid fa-chair;11;1;
271;fa-solid fa-recycle;11;1;
272;fa-solid fa-keyboard;11;1;
273;fa-solid fa-microphone;11;1;
274;fa-solid fa-trash-can;11;1;
275;fa-solid fa-tower-observation;11;1;
276;fa-solid fa-tower-cell;11;1;
277;fa-solid fa-tower-broadcast;11;1;
278;fa-solid fa-toilet-paper;11;1;
279;fa-solid fa-toilet;11;1;
280;fa-solid fa-stapler;11;1;
281;fa-solid fa-sink;11;1;
282;fa-solid fa-scissors;11;1;
283;fa-solid fa-scale-balanced;11;1;
284;fa-solid fa-radiation;11;1;
285;fa-solid fa-pen-clip;11;1;
286;fa-solid fa-peace;11;1;
287;fa-solid fa-paintbrush;11;1;
288;fa-solid fa-meteor;11;1;
289;fa-solid fa-ice-cream;11;1;
290;fa-solid fa-handcuffs;11;1;
291;fa-solid fa-gun;11;1;
292;fa-solid fa-graduation-cap;11;1;
293;fa-solid fa-gavel;11;1;
294;fa-solid fa-fire-extinguisher;11;1;
295;fa-solid fa-explosion;11;1;
296;fa-solid fa-envelopes-bulk;11;1;
297;fa-solid fa-envelope-open-text;11;1;
298;fa-solid fa-drumstick-bite;11;1;
299;fa-solid fa-dice-one;11;1;
300;fa-solid fa-dice-two;11;1;
301;fa-solid fa-dice-three;11;1;
302;fa-solid fa-dice-four;11;1;
303;fa-solid fa-dice-five;11;1;
304;fa-solid fa-dice-six;11;1;
305;fa-solid fa-cubes;11;1;
306;fa-solid fa-bullhorn;11;1;
307;fa-solid fa-bucket;11;1;
308;fa-solid fa-broom;11;1;
309;fa-solid fa-box-tissue;11;1;
310;fa-solid fa-biohazard;11;1;
311;fa-solid fa-bacon;11;1;
312;fa-solid fa-house-chimney-medical;11;1;
313;fa-solid fa-child-reaching;11;1;
314;fa-solid fa-building-ngo;11;1;
315;fa-solid fa-truck-ramp-box;11;1;
316;fa-solid fa-arrow-trend-up;11;1;
317;fa-solid fa-bowl-food;11;1;
318;fa-solid fa-house-laptop;11;1;
319;fa-solid fa-file-invoice-dollar;11;1;
320;fa-solid fa-certificate;11;1;
321;fa-brands fa-airbnb;11;1;
322;fa-solid fa-person-running;11;1;
323;fa-solid fa-people-group;11;1;
324;fa-solid fa-child;11;1;
325;fa-solid fa-money-bill-1-wave;11;1;
326;fa-solid fa-building-columns;11;1;
327;fa-solid fa-square-parking;11;1;
328;fa-solid fa-file-invoice;11;1;
329;fa-solid fa-hand-sparkles;11;1;
330;fa-solid fa-feather;11;1;
331;fa-solid fa-dollar-sign;11;1;
332;fa-solid fa-building;11;1;
333;fa-solid fa-hotel;11;1;
334;fa-solid fa-landmark-dome;11;1;
335;fa-solid fa-shield-virus;11;1;
336;fa-solid fa-id-card;11;1;
337;fa-solid fa-hands-holding-circle;11;1;
338;fa-solid fa-circle-dot;11;1;
339;fa-solid fa-sack-dollar;11;1;
340;fa-solid fa-person-cane;11;1;
341;fa-solid fa-car-side;11;1;
342;fa-solid fa-cubes-stacked;11;1;
343;fa-solid fa-user-minus;11;1;
344;fa-solid fa-notes-medical;11;1;
345;fa-solid fa-house-chimney-crack;11;1;
346;fa-brands fa-google-scholar;11;1;
347;fa-solid fa-chart-column;11;1;
348;fa-solid fa-chart-simple;11;1;
349;fa-regular fa-eye;11;1;
350;fa-solid fa-house-circle-check;11;1;
351;fa-solid fa-car-on;11;1;
352;fa-solid fa-face-angry;11;1;
353;fa-solid fa-person;11;1;
